path,tensor_name,timestep,saliency_mass,l2,l1,max,mean,var
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,8,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,616,5.5372715e-05,1.8458203e-06,5.5372715e-05,1.7881393e-07,3.3796823e-09,1.9653971e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,743,0.0002719164,5.1155926e-06,0.0002719164,4.7683716e-07,1.659646e-08,1.3218849e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,727,0.00022059679,4.3755654e-06,0.00022059679,4.7683716e-07,1.346416e-08,9.873298e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,993,0.5261914,0.004410121,0.5261914,0.00027501583,3.2116175e-05,1.5564398e-10
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,170,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,893,0.0017616153,2.1886108e-05,0.0017616153,1.9073486e-06,1.07520464e-07,1.7676375e-14
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,438,2.026558e-06,3.475518e-07,2.026558e-06,5.9604645e-08,1.2369128e-10,7.357724e-18
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,947,0.009365201,0.00011156203,0.009365201,9.417534e-06,5.716065e-07,4.3294128e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,675,0.00011765957,2.87465e-06,0.00011765957,3.5762787e-07,7.18137e-09,4.528264e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,66,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,955,0.009387791,0.00010562328,0.009387791,6.3180923e-06,5.729853e-07,3.526345e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,861,0.00096821785,1.2831483e-05,0.00096821785,1.1324883e-06,5.9095328e-08,6.5573958e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,971,0.006166637,6.419132e-05,0.006166637,3.2782555e-06,3.7638165e-07,1.09840515e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,337,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,594,3.874302e-05,1.5405235e-06,3.874302e-05,1.1920929e-07,2.3646862e-09,1.3926617e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,872,0.0011503696,1.4901638e-05,0.0011503696,1.3709068e-06,7.021299e-08,8.624057e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,813,0.00053811073,8.531588e-06,0.00053811073,5.9604645e-07,3.2843673e-08,3.3641254e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,1000,0.052581787,0.0005660057,0.052581787,2.7656555e-05,3.2186508e-06,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,800,0.0004528165,7.4185637e-06,0.0004528165,5.364418e-07,2.7637725e-08,2.5953898e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,758,0.00031512976,5.6787308e-06,0.00031512976,5.9604645e-07,1.9233994e-08,1.5984116e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,710,0.00019347668,4.0862888e-06,0.00019347668,3.5762787e-07,1.1808879e-08,8.797541e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,912,0.0058012605,9.9629e-05,0.0058012605,2.2053719e-05,3.5408084e-07,4.8048723e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,406,3.5762787e-07,1.4600097e-07,3.5762787e-07,5.9604645e-08,2.1827873e-11,1.3006456e-18
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,693,0.00014406443,3.2641367e-06,0.00014406443,4.172325e-07,8.792995e-09,5.7302266e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,496,5.6624413e-06,5.8095424e-07,5.6624413e-06,5.9604645e-08,3.45608e-10,2.0481647e-17
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,902,0.002232194,2.8773551e-05,0.002232194,3.3974648e-06,1.362423e-07,3.1972048e-14
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,882,0.0015031099,1.997067e-05,0.0015031099,1.9669533e-06,9.174255e-08,1.5926784e-14
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,930,0.004816532,6.1107174e-05,0.004816532,8.404255e-06,2.939778e-07,1.4149627e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,120,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,468,2.9802322e-06,4.2146849e-07,2.9802322e-06,5.9604645e-08,1.8189894e-10,1.0809595e-17
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,850,0.00088465214,1.2784328e-05,0.00088465214,1.4901161e-06,5.399488e-08,7.060511e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,963,0.055962503,0.00066825974,0.055962503,2.4914743e-05,3.41568e-06,1.5590616e-11
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,373,1.7881393e-07,1.0323827e-07,1.7881393e-07,5.9604645e-08,1.0913936e-11,6.504419e-19
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,637,6.234646e-05,1.946071e-06,6.234646e-05,1.1920929e-07,3.805326e-09,2.1668462e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,259,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,826,0.0006186962,9.388441e-06,0.0006186962,7.748604e-07,3.776222e-08,3.954067e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,773,0.00035840273,6.1311716e-06,0.00035840273,4.7683716e-07,2.1875167e-08,1.8159766e-15
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,921,0.0016312599,2.063268e-05,0.0016312599,1.9669533e-06,9.9564204e-08,1.6071073e-14
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,300,0.0,0.0,0.0,0.0,0.0,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,985,0.024617195,0.00040406748,0.024617195,1.92523e-05,1.5025144e-06,7.708164e-12
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,838,0.00049322844,7.66308e-06,0.00049322844,5.364418e-07,3.0104275e-08,2.6780516e-15
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,979,0.004407406,4.913802e-05,0.004407406,2.6226044e-06,2.690067e-07,7.5012106e-14
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,656,5.9843063e-05,1.9750644e-06,5.9843063e-05,2.9802322e-07,3.6525307e-09,2.2476353e-16
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,787,0.00020462275,4.0684263e-06,0.00020462275,3.5762787e-07,1.2489181e-08,8.543321e-16
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,522,6.735325e-06,6.336061e-07,6.735325e-06,5.9604645e-08,4.110916e-10,2.4335458e-17
